"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","OID_","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"329","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1152,0,3469406,1.3,6198.4407596
"330","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1127,0.588235,3203820,1.2,5723.944812
"331","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1177,0.588235,2324979,0.9,4153.8074814
"332","All Transitions","13022_41_50_51",0.0017866,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1153,0.588235,386045,0.1,689.707997
"333","All Transitions","13023_51",0.0027784,"Laurentian-Acadian Northern Hardwoods Forest - Northern Sugar Maple-Basswood",1178,0,101825,0,282.91058
"334","All Transitions","13030_60",0.2744134,"Northeastern Interior Dry-Mesic Oak Forest",1402,0.392157,1981434,0.7,543732.0408156
"335","All Transitions","13030_61_63_64_65_66",0.1940468,"Northeastern Interior Dry-Mesic Oak Forest",1432,0.392157,7523215,2.8,1459855.796462
"336","All Transitions","13030_61_63_64_65_66",0.1940468,"Northeastern Interior Dry-Mesic Oak Forest",1453,0.392157,136752,0.1,26536.2879936
"337","All Transitions","13030_61_63_64_65_66",0.1940468,"Northeastern Interior Dry-Mesic Oak Forest",1483,0.392157,142979,0.1,27744.6174172
"338","All Transitions","13030_61_63_64_65_66",0.1940468,"Northeastern Interior Dry-Mesic Oak Forest",1506,0.392157,292572,0.1,56772.6603696
"339","All Transitions","13030_62",0.1792412,"Northeastern Interior Dry-Mesic Oak Forest",1471,0.392157,7403035,2.7,1326928.877042
"340","All Transitions","13040_32_43_44_49",0.1022102,"Ozark-Ouachita Dry-Mesic Oak Forest",1577,0,98092,0,10026.0029384
"341","All Transitions","13050_47_48",0.3062046,"Southern Interior Low Plateau Dry-Mesic Oak Forest",1629,0.129412,1943239,0.7,595028.7206994
"342","All Transitions","13050_49",0.1374006,"Southern Interior Low Plateau Dry-Mesic Oak Forest",1578,0.129412,175324,0.1,24089.6227944
"343","All Transitions","13050_53",0.661755,"Southern Interior Low Plateau Dry-Mesic Oak Forest",1562,0.129412,10619,0,7027.176345
"344","All Transitions","13060_47_48",0.1436086,"East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland",1630,0.670588,26,0,3.7338236
"345","All Transitions","13100_38_42_43",0.043113,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1679,0.870588,2002513,0.7,86334.342969
"346","All Transitions","13100_38_42_43",0.043113,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1601,0.870588,4,0,0.172452
"347","All Transitions","13100_39",0.0816344,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1225,0.870588,59546,0,4861.0019824
"348","All Transitions","13100_41_62",0.1116236,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1154,0.870588,1587484,0.6,177200.6790224
"349","All Transitions","13100_41_62",0.1116236,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1472,0.870588,413161,0.2,46118.5181996
"350","All Transitions","13100_44_50",0.0440268,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1128,0.870588,569083,0.2,25054.9034244
"351","All Transitions","13100_44_50",0.0440268,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1696,0.870588,2,0,0.0880536
"352","All Transitions","13100_47",0.1163166,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1632,0.870588,240615,0.1,27987.518709
"353","All Transitions","13100_49",0.1237678,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1579,0.870588,12132414,4.4,1501602.1894692
"354","All Transitions","13100_51",0.1164306,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1179,0.870588,1965862,0.7,228886.4921772
