"","OID_","Value","Count","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"93",1174,1612,2605159,14930,41,"14930_41_42_44_50","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,579373,0.2
"94",1182,1620,2945536,13441,51,"13441_51","Boreal Jack Pine-Black Spruce Forest-Pine Barrens","Conifer",34,64,7,5,15,8,77,"I-A",255,140,140,1,0.54902,0.54902,655071,0.2
"95",1200,1638,2860328,14790,51,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,636122,0.2
"96",1218,1656,2621808,14770,40,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,-9999,123,105,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,583076,0.2
"97",1231,1669,1965143,14120,39,"14120_39_40_41_42_43_50_51","North-Central Interior Sand and Gravel Tallgrass Prairie","Grassland",4,-9999,87,3,96,-9999,4,"II-A",214,0,157,0.839216,0,0.615686,437037,0.2
"98",1233,1671,2131069,14690,39,"14690_31_39_40_43","Eastern Great Plains Floodplain Systems","Riparian",517,77,176,48,9,63,28,"III-A",75,170,190,0.294118,0.666667,0.745098,473938,0.2
"99",1444,1882,2812718,13690,61,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745,625533,0.2
"100",1456,1894,2048091,13660,63,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,455484,0.2
"101",1464,1902,2191847,14750,63,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,487455,0.2
"102",1472,1910,1857781,13100,62,"13100_41_62","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",74,56,23,13,18,24,58,"I-B",176,163,222,0.690196,0.639216,0.870588,413161,0.2
"103",1484,1922,2619055,13240,65,"13240_60_65_66","Northern Atlantic Coastal Plain Hardwood Forest","Hardwood",48,44,4,4,8,8,84,"I-A",161,112,90,0.631373,0.439216,0.352941,582464,0.2
"104",1489,1927,1853548,13700,65,"13700_60_63_64_65_66","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1010,1122,-9999,531,53,47,-9999,"V-B",214,255,145,0.839216,1,0.568627,412219,0.2
"105",1518,1956,2157939,14710,64,"14710_64_65","Central Interior and Appalachian Floodplain Systems","Riparian",603,392,120,80,14,20,66,"III-A",0,191,176,0,0.74902,0.690196,479914,0.2
"106",1530,1968,1862368,13940,52,"13940_52","North-Central Interior Oak Savanna","Hardwood",552,187,5,5,1,3,96,"I-A",230,213,138,0.901961,0.835294,0.541176,414181,0.2
"107",1565,2003,2530228,13170,53,"13170_48_53","Allegheny-Cumberland Dry Oak Forest and Woodland","Hardwood",91,1199,6,6,6,1,93,"I-B",186,184,148,0.729412,0.721569,0.580392,562709,0.2
"108",1567,2005,2954088,13210,53,"13210_47_48_53_57","South-Central Interior Mesophytic Forest","Hardwood",869,534,86,68,8,13,79,"III-A",71,135,148,0.278431,0.529412,0.580392,656973,0.2
"109",1647,2085,2766948,14720,47,"14720_44_46_47_48","Central Interior and Appalachian Riparian Systems","Riparian",990,-9999,200,167,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,615354,0.2
"110",1650,2088,2455637,14790,47,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,546121,0.2
"111",1748,2725,2200592,13620,50,"13620_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest","Hardwood-Conifer",355,680,12,11,3,2,95,"I-B",255,191,191,1,0.74902,0.74902,489400,0.2
"112",1130,1565,907654,13130,50,"13130_47_50_51","North-Central Interior Beech-Maple Forest","Hardwood",1004,-9999,836,456,45,-9999,55,"V-A",0,156,44,0,0.611765,0.172549,201857,0.1
"113",1132,1568,1045537,13651,50,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,-9999,213,85,15,-9999,"V-A",147,194,114,0.576471,0.760784,0.447059,232522,0.1
"114",1137,1573,1047235,14072,50,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,34,18,48,"I-B",153,66,100,0.6,0.258824,0.392157,232899,0.1
"115",1143,1579,1401794,14710,50,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,432,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,311751,0.1
"116",1144,1580,815690,14750,50,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,181405,0.1
"117",1146,1582,1505040,14790,50,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,334713,0.1
"118",1149,1585,1322656,14930,50,"14930_41_42_44_50","Central Interior and Appalachian Shrub-Herbaceous Wetland Systems","Riparian",17,-9999,-9999,17,100,-9999,-9999,"II-C",240,150,20,0.941176,0.588235,0.078431,294152,0.1
"119",1150,1586,944949,14940,50,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,-9999,-9999,18,100,-9999,-9999,"II-C",0,168,107,0,0.658824,0.419608,210152,0.1
"120",1153,1589,1735857,13022,41,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,-9999,-9999,2040,100,-9999,-9999,"V-B",76,230,150,0.298039,0.901961,0.588235,386045,0.1
"121",1168,1606,777077,14710,41,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",-9999,432,67,58,-9999,14,86,"III-A",0,191,176,0,0.74902,0.690196,172818,0.1
"122",1171,1609,1102775,14790,41,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,-9999,-9999,987,100,-9999,-9999,"V-B",207,61,255,0.811765,0.239216,1,245251,0.1
